time,event,pid,old_queue,new_queue,detail
329,aging_promotion,6,3,2,aging_score trigger 8.00
329,aging_promotion,4,2,1,aging_score trigger 8.00
331,behavior_demotion,4,1,3,cpu_intensity_score=1.00
333,aging_promotion,1,3,2,aging_score trigger 8.00
340,quantum_adjust,-1,-1,-1,Q0=1,Q1=2,Q2=11,Q3=19,aging_trigger=8.0,window_cs=3,avg_resp=0.00
342,behavior_demotion,5,2,3,cpu_intensity_score=1.00
342,aging_promotion,3,2,1,aging_score trigger 8.00
344,behavior_demotion,3,1,3,cpu_intensity_score=1.00
346,aging_promotion,5,3,2,aging_score trigger 8.00
348,aging_promotion,2,3,2,aging_score trigger 8.00
350,aging_promotion,4,3,2,aging_score trigger 8.00
352,aging_promotion,1,2,1,aging_score trigger 8.00
355,behavior_demotion,6,2,3,cpu_intensity_score=1.00
357,behavior_demotion,1,1,3,cpu_intensity_score=1.00
360,quantum_adjust,-1,-1,-1,Q0=1,Q1=2,Q2=11,Q3=19,aging_trigger=8.0,window_cs=4,avg_resp=0.00
363,aging_promotion,3,3,2,aging_score trigger 8.00
364,aging_promotion,6,3,2,aging_score trigger 8.00
375,aging_promotion,1,3,2,aging_score trigger 8.00
380,quantum_adjust,-1,-1,-1,Q0=1,Q1=2,Q2=11,Q3=19,aging_trigger=8.0,window_cs=3,avg_resp=0.00
383,behavior_demotion,3,2,3,cpu_intensity_score=1.00
383,aging_promotion,6,2,1,aging_score trigger 8.00
385,behavior_demotion,6,1,3,cpu_intensity_score=1.00
396,behavior_demotion,1,2,3,cpu_intensity_score=1.00
400,quantum_adjust,-1,-1,-1,Q0=1,Q1=2,Q2=11,Q3=19,aging_trigger=8.0,window_cs=3,avg_resp=0.00
404,aging_promotion,6,3,2,aging_score trigger 8.00
410,aging_promotion,1,3,2,aging_score trigger 8.00
420,quantum_adjust,-1,-1,-1,Q0=1,Q1=2,Q2=11,Q3=19,aging_trigger=8.0,window_cs=1,avg_resp=0.00
426,behavior_demotion,6,2,3,cpu_intensity_score=1.00
437,behavior_demotion,1,2,3,cpu_intensity_score=1.00
440,quantum_adjust,-1,-1,-1,Q0=1,Q1=2,Q2=11,Q3=19,aging_trigger=8.0,window_cs=2,avg_resp=0.00
443,aging_promotion,1,3,2,aging_score trigger 8.00
